memory_id,memory_version,disease_id,disease_type,source_record_count,source_inspection_ids,memory_update_mode,memory_confidence,memory_limit_note,first_seen_inspection,last_seen_inspection,inspection_count,total_seen_frames,first_area_px,last_area_px,max_area_px,area_growth_px,area_growth_rate,first_risk_level,last_risk_level,risk_level_change,growth_trend,attention_level,comparability_status,main_clock_direction,mileage_range,representative_image_path,representative_mask_path,requires_manual_review,memory_description
MEM-D001,v1,D001,spalling,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9726,9726,9726,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,3点,K12+019.5,images/0036_103_35_270.png,masks/0036_103_35_270.png,false,病害D001为剥落，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D002,v1,D002,spalling,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9726,9726,9726,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,4点,K12+020.0,images/0036_104_35_180.png,masks/0036_104_35_180.png,false,病害D002为剥落，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D003,v1,D003,crack,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9726,9726,9726,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,5点,K12+008.5,images/0036_105_35.png,masks/0036_105_35.png,false,病害D003为裂缝，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D004,v1,D004,spalling,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9726,9726,9726,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,11点,K12+089.5,images/0036_105_35_90.png,masks/0036_105_35_90.png,false,病害D004为剥落，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D005,v1,D005,water_leakage,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9733,9733,9733,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,12点,K12+006.0,images/0036_105_7_270.png,masks/0036_105_7_270.png,false,病害D005为渗水，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D006,v1,D006,crack,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9733,9733,9733,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,7点,K12+033.5,images/0036_106_7_90.png,masks/0036_106_7_90.png,false,病害D006为裂缝，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D007,v1,D007,water_leakage,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,9733,5692,9733,-4041,-0.415185,高,高,0,不可比较,重点关注,not_longitudinally_comparable,8点,K12+082.0,images/0037_97_49.png,masks/0037_97_49.png,false,病害D007为渗水，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D008,v1,D008,water_leakage,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,5692,5692,5692,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,10点,K12+017.0,images/0037_97_49_90.png,masks/0037_97_49_90.png,false,病害D008为渗水，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D009,v1,D009,spalling,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,5664,5664,5664,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,3点,K12+013.5,images/0038_103_33_90.png,masks/0038_103_33_90.png,false,病害D009为剥落，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
MEM-D010,v1,D010,crack,3,I001|I002|I003,batch_rebuild,medium,Final batch summary only; not a main Association candidate memory. KICT static masks + simulated inspection metadata are not real longitudinal evidence,I001,I003,3,3,5751,5751,5751,0,0.000000,高,高,0,不可比较,重点关注,not_longitudinally_comparable,2点,K12+019.0,images/0038_103_35_180.png,masks/0038_103_35_180.png,false,病害D010为裂缝，首次出现于I001，末次出现于I003。当前静态 mask 面积证据不可作纵向比较，仅保留面积审计，不作跨巡检方向判断。
